 CO2                                                             
                                                                 
                                 


  OPTIONS:  joules                                  



  TEMPERATURE SCHEDULE

    1300.000    1310.000    1320.000    1330.000    1340.000    1350.000
    1360.000    1370.000    1380.000    1390.000    1400.000    1410.000
    1420.000    1430.000    1440.000    1450.000    1460.000    1470.000
    1480.000    1490.000    1500.000    1510.000    1520.000    1530.000
    1540.000    1550.000    1560.000    1570.000    1580.000    1590.000
    1600.000    1610.000    1620.000    1630.000    1640.000    1650.000
    1660.000    1670.000    1680.000    1690.000    1700.000    1710.000
    1720.000    1730.000    1740.000    1750.000    1760.000    1770.000
    1780.000    1790.000    1800.000    1810.000    1820.000    1830.000
    1840.000    1850.000    1860.000    1870.000    1880.000    1890.000
    1900.000    1910.000    1920.000    1930.000    1940.000    1950.000
    1960.000    1970.000    1980.000    1990.000    2000.000



   NOTE:  Thermodynamic properties calculated for temperatures outside the range of 
        the fitted data may have large errors.  This program allows calculations only 
        for temperatures within 20% above or below the fitted temperature range.




                      COEFFICIENTS FOR FITTED THERMODYNAMIC FUNCTIONS


      CO2               Gurvich,1991 pt1 p27 pt2 p24.                                 
       3 g 9/99 C   1.00O   2.00    0.00    0.00    0.00 0     44.00950    -393510.000
          200.000  1000.000 7 -2.0 -1.0  0.0  1.0  2.0  3.0  4.0  0.0         9365.469
       4.943650540E+04-6.264116010E+02 5.301725240E+00 2.503813816E-03-2.127308728E-07
      -7.689988780E-10 2.849677801E-13 0.000000000E+00-4.528198460E+04-7.048279440E+00
         1000.000  6000.000 7 -2.0 -1.0  0.0  1.0  2.0  3.0  4.0  0.0         9365.469
       1.176962419E+05-1.788791477E+03 8.291523190E+00-9.223156780E-05 4.863676880E-09
      -1.891053312E-12 6.330036590E-16 0.000000000E+00-3.908350590E+04-2.652669281E+01
         6000.000 20000.000 7 -2.0 -1.0  0.0  1.0  2.0  3.0  4.0  0.0         9365.469
      -1.544423287E+09 1.016847056E+06-2.561405230E+02 3.369401080E-02-2.181184337E-06
       6.991420840E-11-8.842351500E-16 0.000000000E+00-8.043214510E+06 2.254177493E+03




   THERMODYNAMIC FUNCTIONS CALCULATED FROM COEFFICIENTS FOR CO2             


      T         Cp        H-H298        S      -(G-H298)/T      H        delta Hf     log K
    deg-K    J/mol-K      kJ/mol     J/mol-K     J/mol-K      kJ/mol      kJ/mol

      0        0.         -9.365       0.        INFINITE   -402.875    -393.142    INFINITE
    1300      57.130      50.153     283.932     245.353    -343.357    -395.252     15.9174
    1310      57.202      50.724     284.370     245.649    -342.786    -395.273     15.7962
    1320      57.272      51.297     284.805     245.944    -342.213    -395.294     15.6768
    1330      57.342      51.870     285.238     246.238    -341.640    -395.314     15.5592
    1340      57.410      52.443     285.668     246.531    -341.067    -395.335     15.4433
    1350      57.477      53.018     286.095     246.822    -340.492    -395.356     15.3292
    1360      57.543      53.593     286.519     247.112    -339.917    -395.376     15.2167
    1370      57.609      54.169     286.941     247.402    -339.341    -395.397     15.1059
    1380      57.673      54.745     287.360     247.690    -338.765    -395.418     14.9966
    1390      57.736      55.322     287.777     247.977    -338.188    -395.438     14.8889
    1400      57.798      55.900     288.191     248.262    -337.610    -395.459     14.7828
    1410      57.860      56.478     288.602     248.547    -337.032    -395.479     14.6781
    1420      57.920      57.057     289.012     248.830    -336.453    -395.500     14.5750
    1430      57.980      57.637     289.418     249.113    -335.873    -395.521     14.4732
    1440      58.039      58.217     289.822     249.394    -335.293    -395.541     14.3729
    1450      58.097      58.797     290.224     249.674    -334.713    -395.562     14.2740
    1460      58.154      59.379     290.624     249.954    -334.131    -395.583     14.1764
    1470      58.210      59.960     291.021     250.232    -333.550    -395.603     14.0801
    1480      58.265      60.543     291.416     250.508    -332.967    -395.624     13.9851
    1490      58.320      61.126     291.808     250.784    -332.384    -395.645     13.8914
    1500      58.374      61.709     292.199     251.059    -331.801    -395.665     13.7989

    1510      58.427      62.293     292.587     251.333    -331.217    -395.686     13.7077
    1520      58.479      62.878     292.972     251.606    -330.632    -395.707     13.6176
    1530      58.531      63.463     293.356     251.877    -330.047    -395.728     13.5287
    1540      58.582      64.048     293.738     252.148    -329.462    -395.749     13.4410
    1550      58.632      64.634     294.117     252.417    -328.876    -395.770     13.3544
    1560      58.682      65.221     294.494     252.686    -328.289    -395.791     13.2689
    1570      58.731      65.808     294.869     252.953    -327.702    -395.812     13.1845
    1580      58.779      66.396     295.242     253.220    -327.114    -395.833     13.1012
    1590      58.826      66.984     295.613     253.485    -326.526    -395.854     13.0188
    1600      58.873      67.572     295.982     253.750    -325.938    -395.875     12.9376
    1610      58.920      68.161     296.349     254.013    -325.349    -395.896     12.8573
    1620      58.965      68.751     296.714     254.276    -324.759    -395.918     12.7780
    1630      59.010      69.340     297.077     254.537    -324.170    -395.939     12.6997
    1640      59.055      69.931     297.438     254.798    -323.579    -395.960     12.6223
    1650      59.099      70.522     297.797     255.057    -322.988    -395.982     12.5459
    1660      59.142      71.113     298.155     255.316    -322.397    -396.003     12.4704
    1670      59.185      71.704     298.510     255.573    -321.806    -396.025     12.3958
    1680      59.227      72.296     298.863     255.830    -321.214    -396.047     12.3220
    1690      59.269      72.889     299.215     256.086    -320.621    -396.068     12.2492
    1700      59.310      73.482     299.565     256.340    -320.028    -396.090     12.1772
    1710      59.350      74.075     299.913     256.594    -319.435    -396.112     12.1060
    1720      59.390      74.669     300.259     256.847    -318.841    -396.134     12.0356
    1730      59.430      75.263     300.603     257.099    -318.247    -396.156     11.9661
    1740      59.469      75.857     300.946     257.350    -317.653    -396.179     11.8974
    1750      59.508      76.452     301.287     257.600    -317.058    -396.201     11.8294
    1760      59.546      77.048     301.626     257.849    -316.462    -396.223     11.7622
    1770      59.583      77.643     301.964     258.097    -315.867    -396.246     11.6958
    1780      59.621      78.239     302.299     258.345    -315.271    -396.268     11.6301
    1790      59.657      78.836     302.634     258.591    -314.674    -396.291     11.5651
    1800      59.693      79.432     302.966     258.837    -314.078    -396.314     11.5009
    1810      59.729      80.029     303.297     259.082    -313.481    -396.337     11.4373
    1820      59.765      80.627     303.626     259.325    -312.883    -396.360     11.3745
    1830      59.800      81.225     303.954     259.568    -312.285    -396.383     11.3123
    1840      59.834      81.823     304.280     259.811    -311.687    -396.406     11.2508
    1850      59.868      82.421     304.604     260.052    -311.089    -396.430     11.1900
    1860      59.902      83.020     304.927     260.292    -310.490    -396.453     11.1298
    1870      59.935      83.619     305.248     260.532    -309.891    -396.477     11.0703
    1880      59.968      84.219     305.568     260.770    -309.291    -396.500     11.0114
    1890      60.001      84.819     305.886     261.008    -308.691    -396.524     10.9531
    1900      60.033      85.419     306.203     261.245    -308.091    -396.548     10.8954
    1910      60.065      86.019     306.518     261.482    -307.491    -396.572     10.8383
    1920      60.096      86.620     306.832     261.717    -306.890    -396.596     10.7818
    1930      60.127      87.221     307.144     261.951    -306.289    -396.621     10.7259
    1940      60.158      87.823     307.455     262.185    -305.687    -396.645     10.6706
    1950      60.188      88.425     307.764     262.418    -305.085    -396.670     10.6158
    1960      60.218      89.027     308.072     262.650    -304.483    -396.695     10.5616
    1970      60.248      89.629     308.379     262.882    -303.881    -396.719     10.5079
    1980      60.277      90.232     308.684     263.112    -303.278    -396.744     10.4548
    1990      60.306      90.834     308.987     263.342    -302.676    -396.770     10.4022
    2000      60.335      91.438     309.290     263.571    -302.072    -396.795     10.3501







