T;Cp;H-H298;S;-(G-H298)/T;H;delta Hf;log K
0;0.;-9.365;0.;INFINITE;-402.875;-393.142;INFINITE
200;32.361;-3.412;199.969;217.032;-396.922;-393.389;1.029.182
250;34.828;-1.733;207.453;214.386;-395.243;-393.463;823.682
298.15;37.135;0.000;213.787;213.787;-393.510;-393.510;690.913
300;37.220;0.069;214.017;213.788;-393.441;-393.511;686.661
350;39.387;1.985;219.921;214.249;-391.525;-393.544;588.779
400;41.325;4.004;225.309;215.300;-389.506;-393.572;515.362
450;43.062;6.114;230.278;216.692;-387.396;-393.608;458.255
500;44.624;8.307;234.898;218.284;-385.203;-393.655;412.565
550;46.038;10.574;239.218;219.993;-382.936;-393.716;375.177
600;47.323;12.909;243.280;221.766;-380.601;-393.790;344.015
650;48.493;15.304;247.115;223.570;-378.206;-393.876;317.642
700;49.561;17.756;250.748;225.382;-375.754;-393.970;295.031
750;50.538;20.259;254.201;227.189;-373.251;-394.071;275.430
800;51.432;22.809;257.492;228.981;-370.701;-394.176;258.275
850;52.250;25.401;260.635;230.752;-368.109;-394.285;243.134
900;52.999;28.032;263.643;232.496;-365.478;-394.394;229.671
950;53.683;30.700;266.527;234.212;-362.810;-394.503;217.623
1000;54.309;33.400;269.297;235.897;-360.110;-394.613;206.776
1050;54.890;36.130;271.961;237.551;-357.380;-394.722;196.959
1100;55.420;38.888;274.527;239.174;-354.622;-394.830;188.033
1150;55.904;41.671;277.001;240.765;-351.839;-394.937;179.880
1200;56.347;44.478;279.390;242.325;-349.032;-395.043;172.405
1250;56.755;47.305;281.699;243.854;-346.205;-395.148;165.526
1300;57.130;50.153;283.932;245.353;-343.357;-395.252;159.174
1350;57.477;53.018;286.095;246.822;-340.492;-395.356;153.292
1400;57.798;55.900;288.191;248.262;-337.610;-395.459;147.828
1450;58.097;58.797;290.224;249.674;-334.713;-395.562;142.740
1500;58.374;61.709;292.199;251.059;-331.801;-395.665;137.989
1550;58.632;64.634;294.117;252.417;-328.876;-395.770;133.544
1600;58.873;67.572;295.982;253.750;-325.938;-395.875;129.376
1650;59.099;70.522;297.797;255.057;-322.988;-395.982;125.459
1700;59.310;73.482;299.565;256.340;-320.028;-396.090;121.772
1750;59.508;76.452;301.287;257.600;-317.058;-396.201;118.294
1800;59.693;79.432;302.966;258.837;-314.078;-396.314;115.009
1850;59.868;82.421;304.604;260.052;-311.089;-396.430;111.900
1900;60.033;85.419;306.203;261.245;-308.091;-396.548;108.954
1950;60.188;88.425;307.764;262.418;-305.085;-396.670;106.158
2000;60.335;91.438;309.290;263.571;-302.072;-396.795;103.501
2050;60.473;94.458;310.781;264.704;-299.052;-396.924;100.974
2100;60.604;97.485;312.240;265.819;-296.025;-397.056;98.565
